smiles,density,refractive_index,dielectric_const_dc,thermal_conductivity
*C(C*)c1c(cccc1)COC,1.023668496,1.536415367,3.095116259,0.19732083
*C(C*)c1c(cccc1)COCC,1.020552204,1.537979108,2.976498423,0.211823768
*C(C*)c1c(cccc1)COCCC,1.002033696,1.528041441,2.80017547,0.22997739
*C(C*)c1c(cccc1)COC(C)C,0.985738485,1.520275712,2.691399239,0.220707828
*C(C*)c1c(cccc1)COCCCC,0.987425981,1.529259106,2.706431602,0.220379086
*C(C*)c1c(cccc1)COCCCCC,0.977922828,1.516071903,2.661335214,0.238571654
*C(C*)c1c(cccc1)COCCC(C)C,0.981459783,1.518900346,2.588198865,0.237360118
*C(C*)c1c(cccc1)COCc1ccccc1,1.087022171,1.590153852,2.923754615,0.204719244
*C(C*)c1c(cccc1)COCCc1ccccc1,1.073511826,1.578574272,2.68955717,0.206285623
*C(C*)c1c(cccc1)C(=O)NC,1.05618534,1.542486188,2.91729856,0.192915175
*C(C*)c1c(cccc1)C(=O)N(C)C,1.019914094,1.521234742,2.566346661,0.186909259
*C(C*)c1c(cccc1)C(=O)Nc1ccccc1,1.113471778,1.63029247,2.965981212,0.197508078
*C(C*)c1c(cccc1)C(=O)O,1.14579736,1.561326016,2.81550706,0.221643379
*C(C*)c1c(cccc1)C(=O)OC,1.093619065,1.542253332,2.822168524,0.193160544
*C(C*)c1c(cccc1)C(=O)OCC,1.070874613,1.53533732,2.619939218,0.216698631
*C(C*)c1c(cccc1)C(=O)OCCC,1.060275726,1.531687122,2.588148184,0.209516095
*C(C*)c1c(cccc1)C(=O)OC(C)C,1.04558941,1.526707646,2.542703054,0.208751466
*C(C*)c1c(cccc1)C(=O)OCCCC,1.040151362,1.524592299,2.533742264,0.225796643
*C(C*)c1c(cccc1)C(=O)OCC(C)C,1.035196742,1.524271949,2.552358945,0.203326994
*C(C*)c1c(cccc1)C(=O)OCCCCC,1.030247482,1.515436842,2.512058334,0.230202874
*C(C*)c1c(cccc1)C(=O)OCCC(C)C,1.035083827,1.522889303,2.498101016,0.218106694
*C(C*)c1c(cccc1)C(=O)OCCCCCC,1.011034746,1.504043781,2.44440851,0.238187774
*C(C*)c1c(cccc1)C(=O)Oc1ccccc1,1.133417531,1.60562759,2.789302189,0.192525654
*C(C*)c1c(cccc1)C(=O)OCCN(C)C,1.081969242,1.534751018,2.622969036,0.216260507
*C(C*)c1ccc(cc1)C(=O)OCCN(C)C,1.072615261,1.550473031,2.78252074,0.258067435
*C(C*)c1c(cccc1)OC,1.022974296,1.544147358,2.522893991,0.214975451
*C(C*)c1c(cccc1)Cl,1.153238245,1.571586421,2.570033763,0.155241408
*C(C*)c1c(cccc1)F,1.105762216,1.537102881,2.473854798,0.180059006
*C(C*)c1cc(ccc1)C,0.969357307,1.563890087,2.480126573,0.227224304
*C(C*)c1cc(ccc1)CC,0.951189371,1.548838772,2.422246998,0.230753147
*C(C*)c1cc(ccc1)c1ccc(cc1)c1ccccc1,1.059615223,1.691122154,2.892448103,0.222348269
*C(C*)c1cc(ccc1)Cl,1.138997982,1.570014729,2.586257175,0.141849652
*C(C*)c1cc(ccc1)F,1.097086163,1.53549013,2.487297884,0.165605561
*C(C*)c1ccc(cc1)C,0.954853504,1.556372558,2.454343828,0.207409376
*C(C*)c1ccc(cc1)CC,0.946653191,1.550528565,2.426617392,0.241331997
*C(C*)c1ccc(cc1)C(C)C,0.923190056,1.53172234,2.385478373,0.245006224
